class	year	month	day	hour	minute	second	length	path	f0	f1
rythm	2018	10	08	8	15	10.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	11	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	11.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	12	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	12.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	13	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	13.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	14	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	14.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	15	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	15.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	16	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	16.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	17	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	17.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	18	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	18.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	19	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	19.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	20	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	20.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	21	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	21.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	22	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	22.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	23	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	23.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	24	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	24.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	25	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	25.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	26	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
rythm	2018	10	08	8	15	26.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	27	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	27.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	28	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	28.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	29	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	29.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
