,traceID,classes,minWeight,NtraceID,Nclasses,Nweight,counts,acc_mean,acc_std
35,MV.MBLG..SHZ,"l,t",3,474,188,171,"[91, 80]",98.4,0.6
36,MV.MBLG..SHZ,"e,r",3,474,186,149,"[75, 74]",76.2,3.7
37,MV.MBLG..SHZ,"h,l,t",3,474,288,269,"[91, 98, 80]",87.0,2.7
38,MV.MBLG..SHZ,"h,l,t,r",3,474,390,344,"[75, 91, 98, 80]",83.8,2.2
39,MV.MBLG..SHZ,"e,h,l,t,r",3,474,474,418,"[75, 74, 91, 98, 80]",77.5,1.9
40,MV.MBRY..SHZ,"l,t",0,452,175,175,"[89, 86]",97.3,1.8
41,MV.MBRY..SHZ,"e,r",0,452,177,177,"[94, 83]",75.8,3.2
42,MV.MBRY..SHZ,"h,l,t",0,452,275,275,"[89, 100, 86]",85.3,2.2
43,MV.MBRY..SHZ,"h,l,t,r",0,452,369,369,"[94, 89, 100, 86]",79.2,2.6
44,MV.MBRY..SHZ,"e,h,l,t,r",0,452,452,452,"[94, 83, 89, 100, 86]",74.4,2.6
45,MV.MBRY..SHZ,"l,t",1,452,175,175,"[89, 86]",96.8,1.8
46,MV.MBRY..SHZ,"e,r",1,452,177,177,"[94, 83]",76.0,3.2
47,MV.MBRY..SHZ,"h,l,t",1,452,275,275,"[89, 100, 86]",85.0,3.0
48,MV.MBRY..SHZ,"h,l,t,r",1,452,369,369,"[94, 89, 100, 86]",80.0,2.2
49,MV.MBRY..SHZ,"e,h,l,t,r",1,452,452,452,"[94, 83, 89, 100, 86]",74.8,2.3
50,MV.MBRY..SHZ,"l,t",2,452,175,168,"[83, 85]",96.7,1.6
51,MV.MBRY..SHZ,"e,r",2,452,177,160,"[80, 80]",76.1,3.6
52,MV.MBRY..SHZ,"h,l,t",2,452,275,266,"[83, 98, 85]",84.0,3.4
53,MV.MBRY..SHZ,"h,l,t,r",2,452,369,346,"[80, 83, 98, 85]",80.0,2.5
54,MV.MBRY..SHZ,"e,h,l,t,r",2,452,452,426,"[80, 80, 83, 98, 85]",74.5,1.9
55,MV.MBRY..SHZ,"l,t",3,452,175,159,"[76, 83]",97.3,1.8
56,MV.MBRY..SHZ,"e,r",3,452,177,147,"[71, 76]",74.5,3.5
57,MV.MBRY..SHZ,"h,l,t",3,452,275,257,"[76, 98, 83]",85.0,2.7
58,MV.MBRY..SHZ,"h,l,t,r",3,452,369,328,"[71, 76, 98, 83]",80.2,2.5
59,MV.MBRY..SHZ,"e,h,l,t,r",3,452,452,404,"[71, 76, 76, 98, 83]",74.3,2.3
