,Description,Date,Age,Miles,eq25_800m,Minutes,Seconds
112, Run Lu Lu Run,2008-08-17,37,6.215,2.5031395652248953,2.0,30.0
86, LRRL Beaumont Markfield,2005-01-23,33,6.215,2.5064314373517034,2.0,30.0
179, Prestwold Air Ambulance 10k,2016-06-26,44,6.215,2.507089811777065,2.0,30.0
192, Run on the shutle landing facility ,2018-03-13,46,6.0,2.507821697592292,2.0,30.0
189, Independence Day 5k  Fairbanks  AK,2017-07-04,45,3.108,2.5094571707464577,2.0,30.0
97, Chena River Run,2007-05-05,35,3.108,2.5108575374712045,2.0,30.0
150, Midnight Sun Run,2012-06-23,40,6.215,2.5202573002842974,2.0,31.0
56, Miller Hill / Yankovich Cookie Challenge,1998-10-10,27,6.5,2.5206190474582297,2.0,31.0
58, Alaskaland Run for Youth,1999-04-24,27,3.108,2.520660104544433,2.0,31.0
70, Track meet mile,1999-07-07,27,1.0,2.5237396576003603,2.0,31.0
87, LRRL Barrow ,2005-01-30,33,6.0,2.52491892760042,2.0,31.0
127, Final leg of Skagway-Whitehorse Klondike Relay,2009-09-12,38,12.1,2.531459940236023,2.0,31.0
159, Halloween Run,2012-10-27,41,10.0,2.531517588909509,2.0,31.0
180, 3 club challenge,2016-08-09,45,5.0,2.5324070157573635,2.0,31.0
12, sileby,1986-09-07,15,9.0,2.537287774028316,2.0,32.0
53, GCI 5k,1998-08-15,27,3.108,2.5374645052413958,2.0,32.0
190, fort de soto 5k & 15k,2017-10-01,46,3.108,2.5388648719661426,2.0,32.0
102, Training for Flint Hills mile?,2007-07-10,35,0.746,2.5407535437154505,2.0,32.0
166, Donate Life USF 5k,2014-04-06,42,3.108,2.5416656054156364,2.0,32.0
96, Track time trial 3000m,2007-05-01,35,1.865,2.5446554784484094,2.0,32.0
101, Santa Claus Half,2007-07-07,35,13.112,2.5474261108436136,2.0,32.0
187, Barrow Boxing Day Handicap,2016-12-26,45,6.0,2.54748727121115,2.0,32.0
143, Santa Claus Half,2010-08-07,39,13.112,2.551995211843572,2.0,33.0
191, Trot thru the terrace,2017-11-11,46,6.215,2.5525176471270172,2.0,33.0
90, Rushcliffe Country Park,2005-08-05,34,4.0,2.5542098857625115,2.0,33.0
16, thringstone,1987-08-01,16,3.85,2.5555278485396307,2.0,33.0
132, UAF campus afternoon run,2010-03-18,38,3.0,2.557057354436704,2.0,33.0
125, Run Lu Lu Run,2009-08-15,38,6.837,2.5580309454440617,2.0,33.0
138, Midnight Sun Run,2010-06-19,38,6.215,2.5623932635074413,2.0,33.0
160, Beat Beethoven,2013-04-13,41,3.108,2.5668722064610803,2.0,34.0
34, St Andrews Half,1991-05-15,19,13.112,2.570880829310068,2.0,34.0
110, Fairbanks run for women,2008-06-01,36,5.0,2.574085867234608,2.0,34.0
81, Livingstone Relays,2004-04-11,32,3.0,2.5759769592219497,2.0,34.0
158, Troth Yeddha 5k at UAF,2012-09-22,41,3.108,2.586477340607537,2.0,35.0
44, Midnight Sun Run,1998-06-20,26,6.215,2.587411491671183,2.0,35.0
146, Murphy Dome Roam,2011-05-15,39,11.0,2.5959553464605816,2.0,35.0
124, Santa Claus Half,2009-08-08,38,13.112,2.6043875699764314,2.0,36.0
83, Crossdale 10k,2004-09-05,33,6.215,2.608479473282755,2.0,36.0
129, Cache Creek Warm-up,2009-10-24,38,6.8,2.6088079125626304,2.0,36.0
183, Tempo run,2016-09-22,45,3.47,2.610397202471128,2.0,36.0
199, Multirace Fort de Soto Tri #1,2019-07-13,47,3.108,2.6144846751024757,2.0,36.0
60, Law Days 10k,1999-05-01,27,6.215,2.619013464088541,2.0,37.0
80, Desford 10k,2004-03-28,32,6.215,2.622305336215349,2.0,37.0
