,Description,Date,Age,Miles,eq25_400m,Minutes,Seconds
148, Golden Mile,2011-07-23,40,1.0,1.1720075677311605,1.0,10.0
151, Flint Hills Mile,2012-06-28,40,1.0,1.1720075677311605,1.0,10.0
186, Thanksgiving Turkey Trot,2016-11-24,45,6.215,1.172235295206788,1.0,10.0
6, Humphries athletics class,1985-05-01,13,0.497,1.1725126972733437,1.0,10.0
112, Run Lu Lu Run,2008-08-17,37,6.215,1.1734698768763057,1.0,10.0
86, LRRL Beaumont Markfield,2005-01-23,33,6.215,1.1750131039632024,1.0,10.0
179, Prestwold Air Ambulance 10k,2016-06-26,44,6.215,1.1753217493805816,1.0,10.0
192, Run on the shutle landing facility ,2018-03-13,46,6.0,1.1756648568802248,1.0,10.0
189, Independence Day 5k  Fairbanks  AK,2017-07-04,45,3.108,1.1764315654199786,1.0,10.0
97, Chena River Run,2007-05-05,35,3.108,1.177088056248896,1.0,10.0
150, Midnight Sun Run,2012-06-23,40,6.215,1.1814946577281689,1.0,10.0
56, Miller Hill / Yankovich Cookie Challenge,1998-10-10,27,6.5,1.1816642445213115,1.0,10.0
58, Alaskaland Run for Youth,1999-04-24,27,3.108,1.1816834920513177,1.0,10.0
70, Track meet mile,1999-07-07,27,1.0,1.183127184123297,1.0,10.0
87, LRRL Barrow ,2005-01-30,33,6.0,1.1836800249800352,1.0,11.0
127, Final leg of Skagway-Whitehorse Klondike Relay,2009-09-12,38,12.1,1.1867464466046151,1.0,11.0
159, Halloween Run,2012-10-27,41,10.0,1.1867734722578058,1.0,11.0
180, 3 club challenge,2016-08-09,45,5.0,1.187190434870735,1.0,11.0
12, sileby,1986-09-07,15,9.0,1.1894785305434041,1.0,11.0
53, GCI 5k,1998-08-15,27,3.108,1.1895613819983266,1.0,11.0
190, fort de soto 5k & 15k,2017-10-01,46,3.108,1.190217872827244,1.0,11.0
102, Training for Flint Hills mile?,2007-07-10,35,0.746,1.1911032806710213,1.0,11.0
166, Donate Life USF 5k,2014-04-06,42,3.108,1.1915308544850785,1.0,11.0
96, Track time trial 3000m,2007-05-01,35,1.865,1.1929325046321126,1.0,11.0
101, Santa Claus Half,2007-07-07,35,13.112,1.1942313749391613,1.0,11.0
187, Barrow Boxing Day Handicap,2016-12-26,45,6.0,1.1942600468717854,1.0,11.0
143, Santa Claus Half,2010-08-07,39,13.112,1.1963733659261382,1.0,11.0
191, Trot thru the terrace,2017-11-11,46,6.215,1.1966182831797574,1.0,11.0
90, Rushcliffe Country Park,2005-08-05,34,4.0,1.1974116033329067,1.0,11.0
16, thringstone,1987-08-01,16,3.85,1.1980294632554136,1.0,11.0
132, UAF campus afternoon run,2010-03-18,38,3.0,1.1987464944276482,1.0,11.0
125, Run Lu Lu Run,2009-08-15,38,6.837,1.1992029131329431,1.0,11.0
138, Midnight Sun Run,2010-06-19,38,6.215,1.2012479644404475,1.0,12.0
160, Beat Beethoven,2013-04-13,41,3.108,1.2033476894055917,1.0,12.0
34, St Andrews Half,1991-05-15,19,13.112,1.2052269286723092,1.0,12.0
110, Fairbanks run for women,2008-06-01,36,5.0,1.2067294479528736,1.0,12.0
81, Livingstone Relays,2004-04-11,32,3.0,1.2076159904023547,1.0,12.0
158, Troth Yeddha 5k at UAF,2012-09-22,41,3.108,1.2125385610104353,1.0,12.0
44, Midnight Sun Run,1998-06-20,26,6.215,1.2129764903008629,1.0,12.0
146, Murphy Dome Roam,2011-05-15,39,11.0,1.2169818427658436,1.0,13.0
124, Santa Claus Half,2009-08-08,38,13.112,1.220934862576806,1.0,13.0
